days,trans_alpha,trans_delta,inf_young_alpha,inf_young_delta,inf_old_alpha,inf_old_delta,hosp_young_alpha,hosp_young_delta,hosp_old_alpha,hosp_old_delta
14,,,,,,,,,,
22,,,,92.2,,82.3,,,,
28,68.3,45.9,,,,,,,,
30,,,86.7,,72.2,,93.1,,92.4,
60,,,95.4,88.1,92.7,74.4,95.2,,97.7,
67,,,,,,,,87.4,,81.5
90,,,88.7,80.8,87.6,77.3,96.7,,95.8,
120,,,83.8,72.2,85.2,69.6,95.9,,92.8,
150,,,80.7,64.8,74.3,50,94.9,90.3,92.4,79.9
180,1,1,72.8,,66.7,,97,,90.5,
210,,,60,,57.4,,98.2,82.8,90.3,74.6
240,,,59.9,,60.1,,98.9,,94.9,
270,,,,,,,,73.6,,60.2
